Stock_A,Stock_B,Pair_Type,GNN_Strength,Total_PnL,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Num_Trades,Final_Equity
ICICIBANK,COFORGE,positive,0.0021057883,0.0,0.0,0.0,0.0,0.0,0,10000.0
AXISBANK,ALKEM,positive,0.0018739955,0.0,0.0,0.0,0.0,0.0,0,10000.0
SBIN,ALKEM,positive,0.0018146893,0.0,0.0,0.0,0.0,0.0,0,10000.0
BAJFINANCE,KOTAKBANK,positive,0.0018046303,0.0,0.0,0.0,0.0,0.0,0,10000.0
ICICIBANK,ALKEM,positive,0.0017504577,0.0,0.0,0.0,0.0,0.0,0,10000.0
COFORGE,ALKEM,positive,0.0016347304,0.0,0.0,0.0,0.0,0.0,0,10000.0
AXISBANK,COFORGE,positive,0.0015288143,0.0,0.0,0.0,0.0,0.0,0,10000.0
SBILIFE,AUROPHARMA,positive,0.0015122499,0.0,0.0,0.0,0.0,0.0,0,10000.0
KOTAKBANK,BIOCON,positive,0.0013234749,0.0,0.0,0.0,0.0,0.0,0,10000.0
HCLTECH,HDFCBANK,positive,0.0012672348,0.0,0.0,0.0,0.0,0.0,0,10000.0
SBIN,COFORGE,positive,0.0012647616,0.0,0.0,0.0,0.0,0.0,0,10000.0
HCLTECH,SUNPHARMA,positive,0.0012632958,0.0,0.0,0.0,0.0,0.0,0,10000.0
ZYDUSLIFE,COFORGE,positive,0.0012436936,0.0,0.0,0.0,0.0,0.0,0,10000.0
TECHM,HDFCBANK,positive,0.0011806609,0.0,0.0,0.0,0.0,0.0,0,10000.0
LTIM,AUROPHARMA,positive,0.0011579341,0.0,0.0,0.0,0.0,0.0,0,10000.0
ICICIPRULI,ALKEM,positive,0.0011124987,0.0,0.0,0.0,0.0,0.0,0,10000.0
CIPLA,COFORGE,positive,0.0010724294,0.0,0.0,0.0,0.0,0.0,0,10000.0
BIOCON,OFSS,positive,0.001031619,0.0,0.0,0.0,0.0,0.0,0,10000.0
INFY,BIOCON,positive,0.001025738,0.0,0.0,0.0,0.0,0.0,0,10000.0
ALKEM,TORNTPHARM,positive,0.0010062213,0.0,0.0,0.0,0.0,0.0,0,10000.0
KOTAKBANK,SBILIFE,negative,2.2794305e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
TORNTPHARM,KOTAKBANK,negative,2.2120238e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
ALKEM,LTIM,negative,2.1701456e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
DRREDDY,INFY,negative,2.1441386e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
BAJFINANCE,SBILIFE,negative,2.1395183e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
BAJFINANCE,DRREDDY,negative,2.0274836e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
ZYDUSLIFE,BAJFINANCE,negative,2.0223814e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
SUNPHARMA,LUPIN,negative,1.9482913e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
OFSS,AXISBANK,negative,1.9174824e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
HDFCBANK,PERSISTENT,negative,1.9052622e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
TCS,PERSISTENT,negative,1.8503489e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
CIPLA,LTIM,negative,1.8019747e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
AUROPHARMA,DRREDDY,negative,1.7957678e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
ZYDUSLIFE,LTIM,negative,1.7701743e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
DRREDDY,LTIM,negative,1.6630136e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
DIVISLAB,WIPRO,negative,1.651804e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
ICICIPRULI,DRREDDY,negative,1.5897367e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
AUROPHARMA,LUPIN,negative,1.5077731e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
ICICIBANK,PERSISTENT,negative,1.4990471e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
KOTAKBANK,AXISBANK,negative,1.4862783e-10,0.0,0.0,0.0,0.0,0.0,0,10000.0
