Stock_A,Stock_B,Strength
KOTAKBANK,SBILIFE,2.2794305e-10
TORNTPHARM,KOTAKBANK,2.2120238e-10
ALKEM,LTIM,2.1701456e-10
DRREDDY,INFY,2.1441386e-10
BAJFINANCE,SBILIFE,2.1395183e-10
BAJFINANCE,DRREDDY,2.0274836e-10
ZYDUSLIFE,BAJFINANCE,2.0223814e-10
SUNPHARMA,LUPIN,1.9482913e-10
OFSS,AXISBANK,1.9174824e-10
HDFCBANK,PERSISTENT,1.9052622e-10
TCS,PERSISTENT,1.8503489e-10
CIPLA,LTIM,1.8019747e-10
AUROPHARMA,DRREDDY,1.7957678e-10
ZYDUSLIFE,LTIM,1.7701743e-10
DRREDDY,LTIM,1.6630136e-10
DIVISLAB,WIPRO,1.651804e-10
ICICIPRULI,DRREDDY,1.5897367e-10
AUROPHARMA,LUPIN,1.5077731e-10
ICICIBANK,PERSISTENT,1.4990471e-10
KOTAKBANK,AXISBANK,1.4862783e-10
